,research_area,Category,n_research_area
1,Environmental Sciences \& Ecology,Natural,6116
2,Engineering,Physical,5182
3,Energy \& Fuels,Physical,3180
4,Science \& Technology - Other Topics,NA,2519
5,Oceanography,Physical,1761
6,Marine \& Freshwater Biology,Natural,1584
7,Water Resources,Physical,1088
8,Geology,Physical,960
9,Meteorology \& Atmospheric Sciences,Physical,743
10,Biodiversity \& Conservation,Natural,590
11,Materials Science,Physical,541
12,Computer Science,Physical,431
13,Chemistry,Physical,425
14,Physics,Physical,369
15,Fisheries,Natural,342
16,Physical Geography,Physical,342
17,Business \& Economics,Social,328
18,Thermodynamics,Physical,316
19,International Relations,Social,315
20,Geography,Physical,294
21,Mechanics,Physical,285
22,Public Administration,Social,275
23,Automation \& Control Systems,Physical,237
24,Transportation,Physical,205
25,Agriculture,Natural,178
26,Remote Sensing,Physical,154
27,Life Sciences \& Biomedicine - Other Topics,Natural,151
28,Plant Sciences,Natural,148
29,Telecommunications,Physical,148
30,Urban Studies,Social,139
31,Construction \& Building Technology,Physical,137
32,Biotechnology \& Applied Microbiology,Natural,136
33,Government \& Law,Social,126
34,Development Studies,Social,113
35,Operations Research \& Management Science,Social,108
36,Social Sciences - Other Topics,Social,107
37,Evolutionary Biology,Natural,105
38,Forestry,Natural,92
39,Instruments \& Instrumentation,Physical,85
40,Mathematics,Physical,83
41,Electrochemistry,Physical,77
42,"Public, Environmental \& Occupational Health",Social,75
43,Imaging Science \& Photographic Technology,Physical,70
44,Geochemistry \& Geophysics,Physical,64
45,Biochemistry \& Molecular Biology,Natural,60
46,Zoology,Natural,56
47,Robotics,Physical,46
48,Architecture,Social,45
49,Nuclear Science \& Technology,Physical,45
50,Toxicology,Natural,43
51,Microbiology,Natural,42
52,Acoustics,Physical,41
53,Area Studies,Social,41
54,Education \& Educational Research,Social,33
55,Mining \& Mineral Processing,Physical,32
56,Optics,Physical,28
57,Sociology,Social,27
58,Metallurgy \& Metallurgical Engineering,Physical,26
59,Food Science \& Technology,Natural,25
60,Anthropology,Social,23
61,Genetics \& Heredity,Natural,23
62,Social Issues,Social,19
63,Communication,Social,17
64,Mathematical Methods In Social Sciences,Social,16
65,Cell Biology,Natural,15
66,Polymer Science,Physical,12
67,Demography,Social,11
68,Psychology,Social,11
69,Astronomy \& Astrophysics,Physical,9
70,History \& Philosophy of Science,Social,9
71,Information Science \& Library Science,NA,8
72,Arts \& Humanities - Other Topics,Social,7
73,Audiology \& Speech-Language Pathology,Social,7
74,Physiology,Natural,7
75,Veterinary Sciences,Natural,7
76,Mineralogy,Physical,6
77,Pharmacology \& Pharmacy,Natural,6
78,Art,Social,5
79,Biophysics,Physical,5
80,History,Social,5
81,Mathematical \& Computational Biology,Physical,5
82,Reproductive Biology,Natural,5
83,Archaeology,Social,4
84,Nutrition \& Dietetics,Natural,4
85,Philosophy,Social,4
86,Ethnic Studies,Social,3
87,Research \& Experimental Medicine,Natural,3
88,Cultural Studies,Social,2
89,Health Care Sciences \& Services,Natural,2
90,Medical Laboratory Technology,Physical,2
91,Asian Studies,Social,1
92,Biomedical Social Sciences,Social,1
93,Criminology \& Penology,Social,1
94,Developmental Biology,Natural,1
95,Emergency Medicine,Natural,1
96,Entomology,Social,1
97,General \& Internal Medicine,Natural,1
98,Geriatrics \& Gerontology,Natural,1
99,Neurosciences \& Neurology,Social,1
100,Oncology,Natural,1
101,Parasitology,Natural,1
102,Pediatrics,Natural,1
103,Psychiatry,Social,1
104,Rehabilitation,Social,1
105,Social Work,Social,1
106,Spectroscopy,Physical,1
107,Sport Sciences,Natural,1
108,Tropical Medicine,Natural,1
